"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"1-hr","88","92","92","92","92","92","92","92","92","92","91","91","91","91","90","90","78","63","42","41","38","35","32","30","28","27","21","17","13","11","10"
"1-hr","89","90","90","90","90","90","90","90","90","90","90","89","89","89","89","88","77","61","41","40","38","35","32","29","28","26","21","16","13","11","10"
"1-hr","90","88","88","88","88","88","88","88","88","88","88","88","87","87","87","86","75","62","40","39","37","34","31","29","27","26","21","16","12","11","10"
"1-hr","91","86","86","86","86","86","86","86","86","86","86","86","86","85","85","85","75","62","40","39","36","33","31","28","27","26","20","16","12","11","9"
"1-hr","92","84","84","84","84","84","84","84","84","84","84","84","84","84","83","83","76","62","39","38","35","33","30","28","27","25","20","16","12","10","9"
"1-hr","93","83","83","83","83","83","83","83","83","83","83","82","82","82","82","81","78","61","41","37","35","32","30","27","26","25","20","15","12","10","9"
"1-hr","94","81","81","81","81","81","81","81","81","81","81","81","81","80","80","80","79","61","43","37","34","32","29","27","26","24","19","15","12","10","9"
"1-hr","95","79","79","79","79","79","79","79","79","79","79","79","79","79","79","78","78","60","44","36","34","31","29","27","25","24","19","15","11","10","9"
"1-hr","96","78","78","78","78","78","78","78","78","78","78","78","78","77","77","77","76","60","46","35","33","31","28","26","25","24","19","14","11","10","9"
"1-hr","97","76","76","76","76","76","76","76","76","76","76","76","76","76","76","75","75","61","47","35","33","30","28","26","24","23","19","14","11","10","9"
"1-hr","98","75","75","75","75","75","75","75","75","75","75","75","75","74","74","74","73","60","47","34","32","30","28","25","24","23","18","14","11","9","8"
"1-hr","99","73","73","73","73","73","73","73","73","73","73","73","73","73","73","73","72","59","47","33","32","29","27","25","24","22","18","14","11","9","8"
"monthly","1","6888","3626","2381","1744","1401","1142","945","795","679","587","453","361","296","247","210","149","112","87","71","49","37","29","23","19","16","8","4","1","1","0"
"monthly","2","3743","2656","1694","1083","776","598","486","423","373","343","292","250","216","188","165","123","96","77","63","45","34","27","22","18","15","8","3","1","1","0"
"monthly","3","3592","1971","1235","884","674","526","420","345","284","244","189","158","140","127","117","94","77","64","54","40","31","25","20","17","15","8","3","1","1","0"
"monthly","4","7295","1406","934","649","482","379","314","267","232","204","165","133","114","98","88","70","59","51","44","34","28","23","19","16","14","7","3","1","1","0"
"monthly","5","5349","1148","723","525","391","303","241","200","170","151","123","104","90","77","70","55","47","41","35","29","24","20","17","14","13","7","3","1","1","0"
"monthly","6","3703","990","597","422","328","256","210","173","145","125","97","82","70","64","58","44","36","31","28","22","19","16","14","13","11","7","3","1","1","0"
"monthly","7","2594","1430","495","348","270","217","176","147","126","109","84","68","58","53","47","37","31","25","22","18","15","13","12","11","9","6","3","1","1","0"
"monthly","8","1844","1186","409","290","224","182","149","127","107","93","71","58","48","41","38","31","26","22","19","15","12","10","9","9","8","5","3","1","1","0"
"monthly","9","1333","912","452","257","194","158","133","112","97","83","65","52","43","37","32","27","23","19","17","13","11","9","8","7","6","5","3","1","1","0"
"monthly","10","1033","762","502","225","173","138","116","101","86","75","59","48","40","34","29","23","20","17","15","12","10","8","7","6","5","4","2","1","1","0"
"monthly","11","812","639","464","203","152","121","101","87","76","67","52","43","36","31","27","20","17","15","14","11","9","8","6","6","5","3","2","1","1","0"
"monthly","12","647","538","401","249","134","109","91","78","69","60","48","39","33","28","24","18","15","13","12","10","8","7","6","5","5","3","2","1","1","0"
"monthly","13","530","462","349","249","119","99","82","70","62","55","44","35","30","26","23","17","13","12","10","8","7","6","5","5","4","3","2","1","0","0"
"monthly","14","445","403","313","242","123","87","73","63","55","49","40","33","27","23","20","16","12","10","10","8","7","6","5","4","4","2","1","1","0","0"
"monthly","15","378","351","281","224","152","78","67","57","50","44","37","30","26","22","19","14","11","9","8","7","6","5","5","4","4","2","1","1","0","0"
"monthly","16","328","309","254","204","153","77","61","53","46","41","34","28","24","20","18","13","11","9","8","6","6","5","4","4","3","2","1","1","0","0"
