Facility,Pollutant,Potential Emis Rate (lbs/hr),Unrestricted Emis Rate (tons/yr),Limited Emis Rate (tons/yr)
,PM < 10 micron,0.1613,0.6775,0.6775
,PM < 2.5 micron,0.1613,0.6775,0.6775
CR Bard - Stewartville Operation Plant 2,PM < 10 micron,0.41,1.79,1.79
Crenlo Cab Products Inc - Plant 2,PM < 10 micron,40.8306,178.8268,178.8268
Crown Cork & Seal Co USA - Faribault,Nitrogen Oxides,,,
,Sulfur Dioxide,0.01399,0.0617,0.0617
,Carbon Monoxide,0.21,0.911,0.911
,PM < 10 micron,4.48,19.46,19.46
,PM < 2.5 micron,4.48,19.46,19.46
Crown Cork and Seal Co Inc - Owatonna,Nitrogen Oxides,17.97,78.71,78.71
,Sulfur Dioxide,0.07421,0.32552,0.32552
,Carbon Monoxide,10.471,45.89,45.89
,PM < 10 micron,181.6162,796.275,76.595
,PM < 2.5 micron,181.6162,796.275,76.595
Crystal Cabinet Works Inc,Nitrogen Oxides,2.9521,12.9306,12.9306
,Sulfur Dioxide,0.0178,0.0777,0.0777
,Carbon Monoxide,2.4798,10.8618,10.8618
,PM < 10 micron,323.541800000,"7,705.337800000",111.1286
,PM < 2.5 micron,323.541800000,"7,705.337800000",111.1286
CS McCrossan Construction Inc,Nitrogen Oxides,,296.426,43.766
,Sulfur Dioxide,,54.60086,7.98038
,Carbon Monoxide,,"4,728.131",541.631
,PM < 10 micron,,"53,241.4353",18.7213
Cummins Power Generation,Nitrogen Oxides,"2,618.4299","11,471.3547",
,Sulfur Dioxide,263.98723,"1,156.0719",
,Carbon Monoxide,810.3804,"3,549.8988",
,PM < 10 micron,202.4725,886.491000000,
,PM < 2.5 micron,202.4685,886.491200000,
Cytec Engineered Materials Inc,Nitrogen Oxides,14.9364,65.335,65.335
,Sulfur Dioxide,0.595714,2.63341,2.63341
,Carbon Monoxide,12.1365,53.045,52.85
,PM < 10 micron,103.784,"2,081.37",8.89
,PM < 2.5 micron,3.925,40.35,8.89
Dakota Aggregates - UMore Park Facility,Nitrogen Oxides,28.57,125.13,13.85
,Sulfur Dioxide,3.4195,14.984,1.5695
,Carbon Monoxide,133.3,583.86,60.342
,PM < 10 micron,65.9921,"30,768.894",40.2256
,PM < 2.5 micron,32.6392,"7,985.404",17.45736
Daktronics Inc,Nitrogen Oxides,0.442,1.948,1.948
,Sulfur Dioxide,0.00267,0.01169,0.01169
,Carbon Monoxide,0.374,1.636,1.636
,PM < 10 micron,7.8138,227.068,34.188
,PM < 2.5 micron,7.8138,227.068,34.188
Delta Air Lines Inc - Mpls/Saint Paul,Nitrogen Oxides,"1,404.144",787.83,0.73
,Sulfur Dioxide,577.573,"2,335.783",0.022
,Carbon Monoxide,223.544,153.962,0.442
,PM < 10 micron,398.75676,383.848,116.85432
,PM < 2.5 micron,10.99,47.856,0.016
DENCO II LLC,Nitrogen Oxides,30.76,134.7,1.01
,Sulfur Dioxide,0.003,0.72,0.46
,Carbon Monoxide,20.062,258.67,87.85
,PM < 10 micron,14.028,649.214,48.994
,PM < 2.5 micron,10.313,564.29,43.44
DeZURIK Inc,PM < 10 micron,415.734,"1,820.92",26.582
,PM < 2.5 micron,415.734,"1,820.92",26.582
Digi-Key Corp,Nitrogen Oxides,169.53,626.19,159.91
,Sulfur Dioxide,0.12,0.39,0.1
,Carbon Monoxide,35.31,101.19,11.87
,PM < 10 micron,4.19,13.14,3.66
,PM < 2.5 micron,4.19,13.14,3.66
District Energy St Paul Inc-Hans O Nyman,Nitrogen Oxides,801.869,"3,496.432","3,013.16"
,Sulfur Dioxide,"1,337.05","5,855.19","5,786.81"
,Carbon Monoxide,942.901,"4,129.173","4,081.235"
,PM < 10 micron,303.559,"6,957.603","9,330.31"
,PM < 2.5 micron,49.062,214.91,316.29
Dotson Co Inc,Nitrogen Oxides,1.355,5.02,4.45
,Sulfur Dioxide,0.333,1.477,0.387
,Carbon Monoxide,1.01,4.41,4.41
,PM < 10 micron,282.06,"1,214.19",154.17
,PM < 2.5 micron,223.77,981.02,87.85
Douglas Corp - Eden Prairie,Nitrogen Oxides,0.154,0.668,
,Sulfur Dioxide,0.0009,0.004,
,Carbon Monoxide,0.128,0.56,
,PM < 10 micron,73.888,391.326,13.886
Duluth Steam Plant 1,Nitrogen Oxides,"1,010","4,450",
,Sulfur Dioxide,"2,260","9,900",
,Carbon Monoxide,690,"3,020",
,PM < 10 micron,30.28,"5,738.32",0.628
,PM < 2.5 micron,20.98,"3,698.32",0.628
Dura Supreme Inc,Nitrogen Oxides,4.327,18.949,18.949
,Sulfur Dioxide,0.4999,2.1885,2.1885
,Carbon Monoxide,2.508,10.982,10.982
,PM < 10 micron,362.386600000,"5,443.9775",56.5535
,PM < 2.5 micron,294.596600000,"4,901.4975",56.5535
East Central Solid Waste Commission,Nitrogen Oxides,,,5.1363
,Sulfur Dioxide,,,1.4225
,Carbon Monoxide,,,9.6266
,PM < 10 micron,0.52,2.27,15.33
,PM < 2.5 micron,0.52,2.27,3.57
,Hydrogen Sulfide (H2S),,,0.2984
EDCO Products Inc,Nitrogen Oxides,1.824,7.987,7.987
,Sulfur Dioxide,0.011,0.047,0.047
,Carbon Monoxide,1.532,6.71,6.71
,PM < 10 micron,0.417,15.929,1.833
